Thread,Block,Number of step,Seed,Test kerkel,"Mean of result of Test kernel
in float_st (MoT)","Significant digits
of MoT",Reference kernel,"Mean of result of Reference kernel 
in double_st (MoR)","Significant digits 
of MoR","Mean of absolute error of 
two kernel results in double_st (MEAN)","Significant digits
of MEAN","Similar Representation Part 
of MoR and MoT (SRP)","Number of Similar Digits
in fractional part of MoR and MoT 
without exponent (NSD)"
32,1024,1,1,2,0.141573E+003,6,8,0.141573212963266E+003,15,0.184398813871666E-003,15,0.141573,6
32,1024,1,2,2,-0.94451E+002,5,8,-0.944515437528662E+002,15,0.309681378595882E-003,15,-0.94451,5
32,1024,1,3,2,-0.12072E+003,5,8,-0.120726427593710E+003,15,0.195941445781500E-003,15,-0.12072,5
32,1024,1,4,2,-0.1308E+002,4,8,-0.130821606731842E+002,15,0.135062492821802E-003,15,-0.1308,4
32,1024,1,5,2,0.12862E+003,5,8,0.128629984260314E+003,15,0.182828023127967E-003,15,0.12862,5
32,1024,1,6,2,0.15766E+003,5,8,0.157666582364970E+003,15,0.149666402364800E-003,15,0.15766,5
32,1024,1,7,2,0.27293E+003,5,8,0.272936606664996E+003,15,0.307023069240131E-003,15,0.27293,5
32,1024,1,8,2,-0.22657E+003,5,8,-0.226574426500749E+003,15,0.199150291962268E-003,15,-0.22657,5
32,1024,1,9,2,-0.96376E+002,5,8,-0.963759972646730E+002,15,0.192920873814728E-003,15,-0.9637,4
32,1024,1,10,2,-0.10327E+003,5,8,-0.103273154132391E+003,15,0.222332451812690E-003,15,-0.10327,5
32,1024,N,1,2,0.14157E+003,5,8,0.141572039192122E+003,15,0.180468163932800E-003,15,0.14157,5
32,1024,N,2,2,-0.94449E+002,5,8,-0.944495209071064E+002,15,0.155606565385824E-003,15,-0.94449,5
32,1024,N,3,2,-0.12072E+003,5,8,-0.120728547775728E+003,15,0.150954740092856E-003,15,-0.12072,5
32,1024,N,4,2,-0.1308E+002,4,8,-0.130798596802633E+002,15,0.144693922871752E-003,15,-0.130,3
32,1024,N,5,2,0.12862E+003,5,8,0.128627720266937E+003,15,0.146617848571395E-003,15,0.12862,5
32,1024,N,6,2,0.15766E+003,5,8,0.157668878098455E+003,15,0.156581528159449E-003,15,0.15766,5
