Thread,Block,Number of step,Seed,Test kerkel,"Result of Test kernel
in float_st (RoF)",Reference kernel,"Result of Reference kernel 
in double_st (RoR)","Absolute error of 
two kernel results in double_st (MEAN)","Similar Representation Part 
of RoR and RoT (SRP)","Number of Similar Digits
in fractional part of RoR and RoT (NSD)"
32,1024,1,1,0,141.573257446289062500000000000000,8,141.573212963266996666789054870605,0.000044483022065833210945129395,141.5732,4
32,1024,1,2,0,-94.450431823730468750000000000000,8,-94.450544837454799562692642211914,0.000113013724330812692642211914,-94.450,3
32,1024,1,3,0,-120.727592468261718750000000000000,8,-120.727611136779160005971789360046,0.000018668517441255971789360046,-120.727,3
32,1024,1,4,0,-13.081025123596191406250000000000,8,-13.080993428717192728072404861450,0.000031694878998678177595138550,-13.08,2
32,1024,1,5,0,128.628829956054687500000000000000,8,128.628789640246395720168948173523,0.000040315808291779831051826477,128.628,3
32,1024,1,6,0,157.667816162109375000000000000000,8,157.667764632763464760500937700272,0.000051529345910239499062299728,157.667,3
32,1024,1,7,0,272.935699462890625000000000000000,8,272.935633770684944465756416320801,0.000065692205680534243583679199,272.9356,4
32,1024,1,8,0,-226.573150634765625000000000000000,8,-226.573339852519893611315637826920,0.000189217754268611315637826920,-226.573,3
32,1024,1,9,0,-96.377616882324218750000000000000,8,-96.377734230627538636326789855957,0.000117348303319886326789855957,-96.377,3
32,1024,1,10,0,-103.271942138671875000000000000000,8,-103.272041771284420974552631378174,0.000099632612545974552631378174,-103.27,2
32,1024,N,1,0,141.573181152343750000000000000000,8,141.573212963266996666789054870605,0.000031810923246666789054870605,141.573,3
32,1024,N,2,0,-94.450531005859375000000000000000,8,-94.450544837454799562692642211914,0.000013831595424562692642211914,-94.4505,4
32,1024,N,3,0,-120.727600097656250000000000000000,8,-120.727611136779160005971789360046,0.000011039122910005971789360046,-120.7276,4
32,1024,N,4,0,-13.080978393554687500000000000000,8,-13.080993428717192728072404861450,0.000015035162505228072404861450,-13.0809,4
32,1024,N,5,0,128.628814697265625000000000000000,8,128.628789640246395720168948173523,0.000025057019229279831051826477,128.628,3
32,1024,N,6,0,157.667785644531250000000000000000,8,157.667764632763464760500937700272,0.000021011767785239499062299728,157.6677,4
32,1024,N,7,0,272.935638427734375000000000000000,8,272.935633770684944465756416320801,0.000004657049430534243583679199,272.93563,5
32,1024,N,8,0,-226.573348999023437500000000000000,8,-226.573339852519893611315637826920,0.000009146503543888684362173080,-226.5733,4
32,1024,N,9,0,-96.377754211425781250000000000000,8,-96.377734230627538636326789855957,0.000019980798242613673210144043,-96.3777,4
32,1024,N,10,0,-103.272079467773437500000000000000,8,-103.272041771284420974552631378174,0.000037696489016525447368621826,-103.2720,4
64,512,1,1,0,141.573211669921875000000000000000,8,141.573212963266996666789054870605,0.000001293345121666789054870605,141.57321,5
64,512,1,2,0,-94.450286865234375000000000000000,8,-94.450544837454799562692642211914,0.000257972220424562692642211914,-94.450,3
